Date,Months,Years,Site,Period,bloom2,Total_Phosphorus_ug,Phosph_Range,Nitrog_Range,Total_Nitrogen_mg,Temperature_Water_Celsius,Dissolved_P,Dissolved_N,Cumulative_precipitation_t1_t7_mm,Profondeur_Secchi_cm,Mean_temperature_t0_t7,Microcystin_ug_L,Description,SampleID,echantillonnage
2006-5-30,May,2006,NA,Spring,NA,NA,NA,NA,NA,NA,NA,NA,0.525,NA,16.6875,NA,NA,FLD0194.30-05-2006-2b,
2006-6-13,June,2006,Pelagic,Spring,no,51.958527,Mesotrophic,Eutrophic,1413.005,20.2,34.5288295,1.2993945,10.475,NA,14.8,0.0033,13.06.2006.1c,FLD0195.13-06-2006-1c,
2006-6-13,June,2006,Littoral,Spring,no,58.42204,Mesotrophic,Eutrophic,1597.079,22.9,37.796898,1.4146905,10.475,NA,14.8,0.0012,13.06.2006.2c,FLD0196.13-06-2006-2c,
2006-6-27,June,2006,Pelagic,Summer,no,32.4227405,Mesotrophic,Mesotrophic,1021.058,22.5,11.3618565,0.9155875,3.5,NA,19.275,NA,27.06.06.1,FLD0197.27-06-2006-1,
2006-6-27,June,2006,Littoral,Summer,no,39.6124915,Mesotrophic,Mesotrophic,1133.5565,22.6,13.75844,1.025423,3.5,NA,19.275,NA,27.06.06.2,FLD0198.27-06-2006-2,
2006-7-12,July,2006,Pelagic,Summer,no,76.1119705,Mesotrophic,Mesotrophic,890.2395,24.7,23.3830935,0.7574795,0.975,NA,20.6625,0.138,12.07.2006.1b,FLD0199.12-07-2006-1b,
2006-7-12,July,2006,Littoral,Summer,no,51.8749095,Mesotrophic,Mesotrophic,924.632,25.8,21.357441,0.802102,0.975,NA,20.6625,0.16,12.07.2006.2b,FLD0200.12-07-2006-2b,
2006-7-25,July,2006,Pelagic,Summer,no,NA,NA,NA,NA,NA,NA,NA,2.375,NA,20.9125,NA,25.07.06.1,FLD0201.25-07-2006-1,
2006-8-02,August,2006,Pelagic,Summer,yes,80.09251,Mesotrophic,Mesotrophic,960.016,26.9,45.5060465,0.636552,11.125,NA,23.425,0.477,02.08.2006.1b,FLD0202.02-08-2006-1b,
2006-8-02,August,2006,Littoral,Summer,yes,121.2247495,Eutrophic,Eutrophic,1425.8495,27.8,28.699325,0.556977,11.125,NA,23.425,1.88,02.08.2006.2b,FLD0203.02-08-2006-2b,
2006-8-15,August,2006,Pelagic,Summer,yes,NA,NA,NA,NA,NA,NA,NA,0.35,NA,16.6,NA,15.08.2006.1a,FLD0212.15-08-2006-1a,
2006-8-15,August,2006,Littoral,Summer,yes,163.5069225,Eutrophic,Eutrophic,1455.846,22.2,32.149126,0.5180285,0.35,NA,16.6,4.28,15.08.2006.2a,FLD0205.15-08-2006-2a,
2006-8-22,August,2006,Pelagic,Summer,no,97.0761445,Eutrophic,Mesotrophic,973.1345,22.1,34.095167,0.6318595,2.6,NA,19.5375,NA,22.08.06.1,FLD0206.22-08-2006-1,
2006-8-22,August,2006,Littoral,Summer,no,97.2530575,Eutrophic,Mesotrophic,843.246,22.9,40.9947685,-0.0495495,2.6,NA,19.5375,NA,22.08.06.2,FLD0207.22-08-2006-2,
2006-9-05,September,2006,Pelagic,Summer,no,46.806232,Mesotrophic,Mesotrophic,733.574,20.3,20.0555125,0.4684645,2.025,NA,15.625,NA,05.09.06.1,FLD0208.05-09-2006-1,
2006-9-05,September,2006,Littoral,Summer,no,69.370499,Mesotrophic,Mesotrophic,736.7605,21.5,23.3904825,0.4477295,2.025,NA,15.625,NA,05.09.06.2,FLD0209.05-09-2006-2,
2006-9-12,September,2006,Pelagic,Summer,yes,54.114784,Mesotrophic,Mesotrophic,632.9985,18.9,17.3591535,0.3130345,0.55,NA,14.55,2.74,12.09.2006.1a,FLD0210.12-09-2006-1a,
2006-9-12,September,2006,Littoral,Summer,yes,54.540525,Mesotrophic,Mesotrophic,610.5105,19.2,14.520881,0.303932,0.55,NA,14.55,2.36,12.09.2006.2b,FLD0211.12-09-2006-2b,
2006-9-26,September,2006,Pelagic,Fall,no,NA,NA,NA,NA,NA,NA,NA,2.275,NA,13.05,NA,26.09.2006.1b,FLD0204.26-09-2006-1b,
2006-9-26,September,2006,NA,Fall,NA,NA,NA,NA,NA,NA,NA,NA,2.275,NA,13.05,NA,NA,FLD0213.26-09-2006-2a,
2006-10-10,October,2006,Pelagic,Fall,no,NA,NA,NA,NA,NA,NA,NA,2.2,NA,10.1625,NA,10.10.06.1,FLD0214.10-10-2006-1,
2006-10-16,October,2006,NA,Fall,NA,NA,NA,NA,NA,NA,NA,NA,1.95,NA,8.9,NA,NA,FLD0215.16-10-2006-1b,
2006-10-16,October,2006,Littoral,Fall,no,96.830787,Eutrophic,Mesotrophic,773.2315,9.5,42.0521255,0.542282,1.95,NA,8.9,NA,16.10.2006.2b,FLD0216.16-10-2006-2b,
2007-5-09,May,2007,Littoral,Spring,no,77.135,Mesotrophic,Mesotrophic,767.25,15.06,29.665,0.59905,NA,NA,11.425,NA,09.05.07.1,FLD0217.09-05-2007-1,
2007-5-09,May,2007,Pelagic,Spring,no,58.56,Mesotrophic,Mesotrophic,789.05,13.5,11.285,0.65675,NA,NA,11.425,NA,09.05.07.2,FLD0218.09-05-2007-2,
2007-6-02,June,2007,NA,Spring,NA,NA,NA,NA,NA,NA,NA,NA,5.25,NA,16.2,NA,NA,FLD0235.02-06-2007,
2007-7-06,July,2007,Littoral,Summer,no,63.375,Mesotrophic,Mesotrophic,1025.3,22,32.355,0.4888,NA,NA,16.15,0.0023,06.07.07.1,FLD0219.06-07-2007-1,
2007-7-06,July,2007,Pelagic,Summer,no,36.52,Mesotrophic,Mesotrophic,601.15,20.96,17.44,0.4489,NA,NA,16.15,NA,06.07.07.2,FLD0220.06-07-2007-2,
2007-8-02,August,2007,Littoral,Summer,no,46.655,Mesotrophic,Mesotrophic,580.8,28.2,21.805,0.35985,0.35,NA,22.25,0.0072,02.08.07.1,FLD0221.02-08-2007-1,
2007-8-02,August,2007,Pelagic,Summer,no,43.88,Mesotrophic,Mesotrophic,577.3,26.04,18.34,0.4217,0.35,NA,22.25,0.0028,02.08.07.2,FLD0222.02-08-2007-2,
2007-8-22,August,2007,Littoral,Summer,no,66.915,Mesotrophic,Mesotrophic,552.75,19.92,27.085,0.3932,2.775,NA,15.05,0.00217,22.08.07.1,FLD0223.22-08-2007-1,
2007-8-22,August,2007,Pelagic,Summer,no,49.495,Mesotrophic,Mesotrophic,458.25,20.61,25.49,0.3647,2.775,NA,15.05,0.0033,22.08.07.2,FLD0224.22-08-2007-2,
2007-8-29,August,2007,Pelagic,Summer,no,NA,NA,NA,NA,NA,0.02861,0.2592,5.6,NA,20.1375,NA,29.08.07.2,NA,
2007-9-05,September,2007,Littoral,Summer,no,55.12,Mesotrophic,Mesotrophic,490,20.3,29.305,0.3454,1.15,NA,16.0375,0.00044,05.09.07.1,FLD0225.05-09-2007-1,
2007-9-05,September,2007,Pelagic,Summer,no,50.885,Mesotrophic,Mesotrophic,472.85,20.2,23.13,0.31455,1.15,NA,16.0375,0.002,05.09.07.2,FLD0226.05-09-2007-2,
2007-9-19,September,2007,Littoral,Fall,no,76.84,Mesotrophic,Mesotrophic,522.05,18,25.21,0.3459,2.325,NA,12.7625,0.000594,19.09.07.1,FLD0227.19-09-2007-1,
2007-9-19,September,2007,Pelagic,Fall,no,92.47,Mesotrophic,Mesotrophic,527.3,17.44,21.16,0.32775,2.325,NA,12.7625,6.00E-04,19.09.07.2,FLD0228.19-09-2007-2,
2007-9-26,September,2007,Littoral,Fall,no,56.78,Mesotrophic,Mesotrophic,479.5,19,18.615,0.34995,0,NA,18.075,0.000646,26.09.07.1,FLD0229.26-09-2007-1,
2007-9-26,September,2007,Pelagic,Fall,no,44.155,Mesotrophic,Mesotrophic,474.15,19,21.255,0.35705,0,NA,18.075,5.00E-04,26.09.07.2,FLD0230.26-09-2007-2,
2007-10-10,October,2007,Littoral,Fall,no,59.2,Mesotrophic,Mesotrophic,471.1,16.12,25.39,0.3128,3.775,NA,13.2,0.000412,10.10.07.1,FLD0231.10-10-2007-1,
2008-5-22,May,2008,Littoral,Spring,no,128.82,Eutrophic,Mesotrophic,527,NA,NA,NA,6.675,NA,10.4875,NA,22.05.08.1,FLD0232.22-05-2008-1,
2008-6-01,June,2008,Littoral,Spring,no,NA,NA,NA,NA,NA,NA,NA,6.075,NA,13.425,NA,01.06.08.1,FLD0233.01-06-2008-1,
2008-6-01,June,2008,Pelagic,Spring,no,NA,NA,NA,NA,NA,NA,NA,6.075,NA,13.425,NA,01.06.2008,FLD0234.01-06-2008,
2008-6-02,June,2008,Pelagic,Spring,no,33.15,Mesotrophic,Mesotrophic,642,NA,NA,NA,6.525,NA,13.9625,NA,02.06.2008,NA,
2008-6-25,June,2008,Littoral,Summer,no,52.13,Mesotrophic,Eutrophic,1470,NA,NA,NA,3.325,NA,16.5375,NA,25.06.2008.a,FLD0236.25-06-2008-a,
2008-6-25,June,2008,Pelagic,Summer,no,35.27,Mesotrophic,Mesotrophic,910,NA,NA,NA,3.325,NA,16.5375,NA,25.06.2008.b,FLD0237.25-06-2008-b,
2008-7-02,July,2008,Pelagic,Summer,no,23.258,Mesotrophic,Mesotrophic,850,NA,NA,NA,2.725,NA,20.425,NA,02.07.2008,FLD0238.02-07-2008,
2008-7-15,July,2008,Littoral,Summer,no,81.93,Mesotrophic,Mesotrophic,795,24.47,NA,NA,3.425,NA,20.2125,NA,15.07.2008,FLD0239.15-07-2008-1,
2008-7-15,July,2008,Pelagic,Summer,no,69.43,Mesotrophic,Mesotrophic,541,23.28,NA,NA,3.425,NA,20.2125,NA,15.07.2008.2,FLD0240.15-07-2008-2,
2008-7-28,July,2008,Pelagic,Summer,yes,96.60307,Eutrophic,Eutrophic,NA,NA,29.81391,NA,6.3,NA,20.6625,NA,28.07.2008.3d,NA,
2008-8-04,August,2008,Pelagic,Summer,yes,110.507,Eutrophic,Eutrophic,1670,NA,47.295,0.654,NA,NA,20.225,NA,04.08.2008.4b,FLD0241.04-08-2008-4b,
2008-8-04,August,2008,Littoral,Summer,yes,190.69,Eutrophic,Mesotrophic,1130,NA,146.77,0.5,NA,NA,20.225,6390,04.08.2008.2b,FLD0242.04-08-2008-2b,
2008-8-18,August,2008,Pelagic,Summer,yes,268.72,Eutrophic,Mesotrophic,720,NA,22.66,0.69,2.625,NA,18.2125,NA,18.08.2008.4d,FLD0243.18-08-2008-4d,
2008-8-18,August,2008,Littoral,Summer,yes,114.52,Eutrophic,Mesotrophic,1330,NA,32.66,0.94,2.625,NA,18.2125,NA,18.08.2008.2d,NA,
2008-8-24,August,2008,NA,Summer,NA,NA,NA,NA,NA,NA,NA,NA,3.475,NA,18.65,NA,NA,FLD0244.24-08-2008-2,
2008-8-29,August,2008,Littoral,Summer,no,NA,NA,NA,NA,NA,NA,NA,0.625,NA,18.6,NA,29.08.08.1,FLD0245.29-08-2008-1,
2008-8-29,August,2008,Pelagic,Summer,no,NA,NA,NA,NA,NA,NA,NA,0.625,NA,18.6,NA,29.08.08.2,FLD0246.29-08-2008-2,
2008-9-03,September,2008,Littoral,Summer,no,47.64,Mesotrophic,Mesotrophic,560,NA,17.28,0.38,0.025,NA,18.7875,16,03.09.08.2b,FLD0248.03-09-2008-2b,
2008-9-08,September,2008,NA,Summer,NA,NA,NA,NA,NA,NA,NA,NA,0.525,NA,19.4375,NA,NA,FLD0247.08-09-2008-3d,
