SampleID,Date,Months,Years,Site,Period,bloom2,Total_Phosphorus_ug,Total_Nitrogen_mg,Temperature_Water_Celsius,Dissolved_P,Dissolved_N,Cumulative_precipitation_t1_t7_mm,Mean_temperature_t0_t7,Microcystin_ug_L
FLD0194_30_05_2006_2b,2006-5-30,May,2006,NA,Spring,NA,NA,NA,NA,NA,NA,0.525,16.6875,NA
FLD0195_13_06_2006_1c,2006-6-13,June,2006,Pelagic,Spring,no,51.958527,1413.005,20.2,34.5288295,1.2993945,10.475,14.8,0.0033
FLD0196_13_06_2006_2c,2006-6-13,June,2006,Littoral,Spring,no,58.42204,1597.079,22.9,37.796898,1.4146905,10.475,14.8,0.0012
FLD0197_27_06_2006_1,2006-6-27,June,2006,Pelagic,Summer,no,32.4227405,1021.058,22.5,11.3618565,0.9155875,3.5,19.275,NA
FLD0198_27_06_2006_2,2006-6-27,June,2006,Littoral,Summer,no,39.6124915,1133.5565,22.6,13.75844,1.025423,3.5,19.275,NA
FLD0199_12_07_2006_1b,2006-7-12,July,2006,Pelagic,Summer,no,76.1119705,890.2395,24.7,23.3830935,0.7574795,0.975,20.6625,0.138
FLD0200_12_07_2006_2b,2006-7-12,July,2006,Littoral,Summer,no,51.8749095,924.632,25.8,21.357441,0.802102,0.975,20.6625,0.16
FLD0201_25_07_2006_1,2006-7-25,July,2006,Pelagic,Summer,no,NA,NA,NA,NA,NA,2.375,20.9125,NA
FLD0202_02_08_2006_1b,2006-8-02,August,2006,Pelagic,Summer,yes,80.09251,960.016,26.9,45.5060465,0.636552,11.125,23.425,0.477
FLD0203_02_08_2006_2b,2006-8-02,August,2006,Littoral,Summer,yes,121.2247495,1425.8495,27.8,28.699325,0.556977,11.125,23.425,1.88
FLD0212_15_08_2006_1a,2006-8-15,August,2006,Pelagic,Summer,yes,NA,NA,NA,NA,NA,0.35,16.6,NA
FLD0205_15_08_2006_2a,2006-8-15,August,2006,Littoral,Summer,yes,163.5069225,1455.846,22.2,32.149126,0.5180285,0.35,16.6,4.28
FLD0206_22_08_2006_1,2006-8-22,August,2006,Pelagic,Summer,no,97.0761445,973.1345,22.1,34.095167,0.6318595,2.6,19.5375,NA
FLD0207_22_08_2006_2,2006-8-22,August,2006,Littoral,Summer,no,97.2530575,843.246,22.9,40.9947685,-0.0495495,2.6,19.5375,NA
FLD0208_05_09_2006_1,2006-9-05,September,2006,Pelagic,Summer,no,46.806232,733.574,20.3,20.0555125,0.4684645,2.025,15.625,NA
FLD0209_05_09_2006_2,2006-9-05,September,2006,Littoral,Summer,no,69.370499,736.7605,21.5,23.3904825,0.4477295,2.025,15.625,NA
FLD0210_12_09_2006_1a,2006-9-12,September,2006,Pelagic,Summer,yes,54.114784,632.9985,18.9,17.3591535,0.3130345,0.55,14.55,2.74
FLD0211_12_09_2006_2b,2006-9-12,September,2006,Littoral,Summer,yes,54.540525,610.5105,19.2,14.520881,0.303932,0.55,14.55,2.36
FLD0204_26_09_2006_1b,2006-9-26,September,2006,Pelagic,Fall,no,NA,NA,NA,NA,NA,2.275,13.05,NA
