samples,ASV_ID,abundance
FLD0194_30_05_2006_2b,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.226551227
FLD0194_30_05_2006_2b,Uncultured cyanomyovirus clone SZCPS18 (ASV_4),0.031746032
FLD0194_30_05_2006_2b,Uncultured Myoviridae g20_82_56_1%_NEQ (ASV_5),0.154401154
FLD0194_30_05_2006_2b,Uncultured cyanophage clone BwC24 (ASV_6),0
FLD0194_30_05_2006_2b,Uncultured Myoviridae g20_94_44_1%_NEQ (ASV_7),0
FLD0194_30_05_2006_2b,Uncultured cyanomyovirus clone 88268CPSCC8 (ASV_8),0
FLD0194_30_05_2006_2b,Uncultured cyanophage clone LAB_g20_b26_C12 (ASV_9),0
FLD0194_30_05_2006_2b,Uncultured cyanophage clone KRB1008M5 (ASV_10),0.161616162
FLD0194_30_05_2006_2b,Uncultured cyanophage clone LAB_g20_b28_D9 (ASV_11),0.050505051
FLD0194_30_05_2006_2b,Uncultured cyanomyovirus clone 45202CPSCC1 (ASV_12),0.017316017
FLD0194_30_05_2006_2b,Uncultured cyanophage clone KRA0808M1 (ASV_13),0.02020202
FLD0194_30_05_2006_2b,Cyanophage LLM-cg20-1 clone LLM-cg20-1 (ASV_15),0.004329004
FLD0194_30_05_2006_2b,Cyanophage S-RIM isolate S-RIM5 (ASV_18),0
FLD0194_30_05_2006_2b,Uncultured Myoviridae clone KUSW41 (ASV_19),0
FLD0194_30_05_2006_2b,Synechococcus phage S-LKM3 (ASV_20),0
FLD0194_30_05_2006_2b,Uncultured Myoviridae g20_61_47_1%_UW (ASV_21),0
FLD0194_30_05_2006_2b,Unknown_ASV,0.333333333
FLD0195_13_06_2006_1c,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.532096675
FLD0195_13_06_2006_1c,Uncultured cyanomyovirus clone SZCPS18 (ASV_4),0.002501539
FLD0195_13_06_2006_1c,Uncultured Myoviridae g20_82_56_1%_NEQ (ASV_5),0.01481681
FLD0195_13_06_2006_1c,Uncultured cyanophage clone BwC24 (ASV_6),0
FLD0195_13_06_2006_1c,Uncultured Myoviridae g20_94_44_1%_NEQ (ASV_7),0.002540025
FLD0195_13_06_2006_1c,Uncultured cyanomyovirus clone 88268CPSCC8 (ASV_8),0
FLD0195_13_06_2006_1c,Uncultured cyanophage clone LAB_g20_b26_C12 (ASV_9),0
FLD0195_13_06_2006_1c,Uncultured cyanophage clone KRB1008M5 (ASV_10),0.274822968
FLD0195_13_06_2006_1c,Uncultured cyanophage clone LAB_g20_b28_D9 (ASV_11),0.017818658
FLD0195_13_06_2006_1c,Uncultured cyanomyovirus clone 45202CPSCC1 (ASV_12),0.001924261
FLD0195_13_06_2006_1c,Uncultured cyanophage clone KRA0808M1 (ASV_13),0.000846675
FLD0195_13_06_2006_1c,Cyanophage LLM-cg20-1 clone LLM-cg20-1 (ASV_15),0.000500308
FLD0195_13_06_2006_1c,Cyanophage S-RIM isolate S-RIM5 (ASV_18),0
FLD0195_13_06_2006_1c,Uncultured Myoviridae clone KUSW41 (ASV_19),0
FLD0195_13_06_2006_1c,Synechococcus phage S-LKM3 (ASV_20),0
FLD0195_13_06_2006_1c,Uncultured Myoviridae g20_61_47_1%_UW (ASV_21),0
FLD0195_13_06_2006_1c,Unknown_ASV,0.152132081
FLD0196_13_06_2006_2c,Uncultured cyanophage clone KRB1008M5 (ASV_1),0.526788566
FLD0196_13_06_2006_2c,Uncultured cyanomyovirus clone SZCPS18 (ASV_4),0.002315554
FLD0196_13_06_2006_2c,Uncultured Myoviridae g20_82_56_1%_NEQ (ASV_5),0.01049984
FLD0196_13_06_2006_2c,Uncultured cyanophage clone BwC24 (ASV_6),0
FLD0196_13_06_2006_2c,Uncultured Myoviridae g20_94_44_1%_NEQ (ASV_7),0.002634941
FLD0196_13_06_2006_2c,Uncultured cyanomyovirus clone 88268CPSCC8 (ASV_8),0.000279463
FLD0196_13_06_2006_2c,Uncultured cyanophage clone LAB_g20_b26_C12 (ASV_9),0
FLD0196_13_06_2006_2c,Uncultured cyanophage clone KRB1008M5 (ASV_10),0.284174385
FLD0196_13_06_2006_2c,Uncultured cyanophage clone LAB_g20_b28_D9 (ASV_11),0.012376238
FLD0196_13_06_2006_2c,Uncultured cyanomyovirus clone 45202CPSCC1 (ASV_12),0.002115937
FLD0196_13_06_2006_2c,Uncultured cyanophage clone KRA0808M1 (ASV_13),0.001676781
FLD0196_13_06_2006_2c,Cyanophage LLM-cg20-1 clone LLM-cg20-1 (ASV_15),0.000399233
FLD0196_13_06_2006_2c,Cyanophage S-RIM isolate S-RIM5 (ASV_18),0.000159693
FLD0196_13_06_2006_2c,Uncultured Myoviridae clone KUSW41 (ASV_19),0
