"","SampleID","Day","Month","Year","Date","Site","Period","bloom2","Total_Phosphorus_ug","Phosph_Range","Nitrog_Range","Total_Nitrogen_mg","Temperature_Water_Celsius","Dissolved_P","Dissolved_N","Cumulative_precipitation_t1_t7_mm","Profondeur_Secchi_cm","Mean_temperature_t0_t7","Microcystin_ug_L","Description"
"1","M03555_0475_1_i1","M03555_0475_1_i1","MMarch555_April75_1_i1","M03555_0475_1_i1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M03555_0475_1_i1"
"2","M03555_0492_1_i1","M03555_0492_1_i1","MMarch555_April92_1_i1","M03555_0492_1_i1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M03555_0492_1_i1"
"3","Sample_1_NP","Sample_1_NP","Sample_1_NP","Sample_1_NP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0475.001.FLD0054.Sample_1_NP"
"4","Sample_1_P","Sample_1_P","Sample_1_P","Sample_1_P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0475.001.FLD0055.Sample_1_P"
"5","Sample_2_NP","Sample_2_NP","Sample_2_NP","Sample_2_NP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0475.001.FLD0062.Sample_2_NP"
"6","Sample_2_P","Sample_2_P","Sample_2_P","Sample_2_P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0475.001.FLD0063.Sample_2_P"
"7","30-05-2006-2b","30","May","2006",2006-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0194.30-05-2006-2b"
"8","13-06-2006-1c","13","June","2006",2006-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0195.13-06-2006-1c"
"9","13-06-2006-2c","13","June","2006",2006-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0196.13-06-2006-2c"
"10","27-06-2006-1","27","June","2006",2006-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0197.27-06-2006-1"
"11","27-06-2006-2","27","June","2006",2006-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0198.27-06-2006-2"
"12","12-07-2006-1b","12","July","2006",2006-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0199.12-07-2006-1b"
"13","12-07-2006-2b","12","July","2006",2006-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0200.12-07-2006-2b"
"14","25-07-2006-1","25","July","2006",2006-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0201.25-07-2006-1"
"15","02-08-2006-1b","02","August","2006",2006-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0202.02-08-2006-1b"
"16","02-08-2006-2b","02","August","2006",2006-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0203.02-08-2006-2b"
"17","26-09-2006-1b","26","September","2006",2006-09-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0204.26-09-2006-1b"
"18","15-08-2006-2a","15","August","2006",2006-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0205.15-08-2006-2a"
"19","22-08-2006-1","22","August","2006",2006-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0206.22-08-2006-1"
"20","22-08-2006-2","22","August","2006",2006-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0207.22-08-2006-2"
"21","05-09-2006-1","05","September","2006",2006-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0208.05-09-2006-1"
"22","05-09-2006-2","05","September","2006",2006-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0209.05-09-2006-2"
"23","12-09-2006-1a","12","September","2006",2006-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0210.12-09-2006-1a"
"24","12-09-2006-2b","12","September","2006",2006-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0211.12-09-2006-2b"
"25","15-08-2006-1a","15","August","2006",2006-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0212.15-08-2006-1a"
"26","26-09-2006-2a","26","September","2006",2006-09-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0213.26-09-2006-2a"
"27","10-10-2006-1","10","October","2006",2006-10-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0214.10-10-2006-1"
"28","16-10-2006-1b","16","October","2006",2006-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MI.M03555_0492.001.FLD0215.16-10-2006-1b"
